qa_type,question,q_entity,answer,a_entity,intent
qa,아인슈페너는 뭐죠?,아인슈페너,아인슈페너는 진한 아메리카노 위에 크림을 올린 음료입니다,"아인슈페너, 진한, 아메리카노, 위, 크림, 음료",메뉴문의
qa,여기 커피가 좀 맛이 강한가요?,"커피,맛",저희 매장은 커피에 에스프레소 샷을 두 개 넣고 있습니다,"매장, 커피, 에스프레소 샷, 두 개",메뉴문의
qa,얼그레이하고 레몬차 중에서 좀 덜 단 맛이 나는 건 어떤 거죠?,"얼그레이,레몬차,단 맛",얼그레이와 레몬 차는 단 맛을 내는 재료가 똑같이 들어갑니다,"얼그레이, 레몬차, 단 맛, 재료",메뉴문의
qa,사이드는 다콰즈 종류 외에는 없어요?,"사이드,다콰즈,종류","고객님, 죄송하지만 다른 종류는 다 팔렸습니다","고객님, 종류",메뉴문의
qa,큐브 라테는 맛이 좀 강해요?,"큐브라떼,맛","고객님의 입맛에 따라 다르겠지만, 큐브 라테는 일반적인 아이스 라테와 비슷합니다","고객님, 입맛, 큐브라떼, 아이스, 라떼",메뉴문의
qa,큐브 라테도 커피인가요?,"큐브라떼,커피",큐브 라테는 얼린 커피에 뜨거운 우유를 넣어 녹여 마시는 음료입니다,"큐브라떼, 얼린, 커피, 뜨거운, 우유, 음료",메뉴문의
qa,생딸기 주스 없어요?,생딸기 주스,"네, 죄송하지만 생딸기 주스는 없습니다",생딸기 주스,메뉴문의
qa,여기 딸기 주스는 없어요?,딸기 주스,"네, 죄송하지만 딸기 주스는 없습니다",딸기 주스,메뉴문의
qa,샷은 몇 개나 추가되는 거예요?,"샷,추가","유로 드립은 샷이 들어가지 않고, 내려 마시는 음료입니다","유로드립, 샷, 음료",메뉴문의
qa,유로 드립이 우리 일반적으로 마시는 것보다 순해요?,유로드립,"네, 유로 드립은 상대적으로 연한 편입니다","유로드립, 연한",메뉴문의
qa,애플그린 씨 안에 계란 들어있는 거예요?,"애플그린씨,계란",네 들어있습니다,,메뉴문의
qa,라자냐는 양이 많나요?,"라자냐,양",양이 그렇게 많지는 않아요,양,메뉴문의
qa,네 따뜻하게 해주시고 여기 라자냐 있죠?,"따뜻,라자냐",네 있습니다,,메뉴문의
qa,원래는 투 샷이에요?,투 샷,원래 투 샷입니다,투 샷,메뉴문의
qa,부드럽게 할 수 있나요?,,샷을 하나 빼시면 됩니다,"샷, 하나",메뉴문의
qa,카푸치노가 좀 쓰나요?,카푸치노,조금 쓸 수도 있어요,,메뉴문의
qa,내 맘대로 커피는 샷을 조절할 수 있는 거예요?,"내맘대로 커피,샷,조절",네 조절하는 거예요,조절,메뉴문의
qa,여기 식사도 있나 봐요?,식사,네 냉동 필래프 있습니다,냉동필라프,메뉴문의
qa,네 루이보스 바닐라도 루이보스랑 바닐라 두 개가 합쳐진 거예요?,"루이보스 바닐라,루이보스,바닐라,두 개",네 두 개 합쳐진 겁니다,두 개,메뉴문의
qa,라테 면 우유 들어가요?,"라떼,우유",네 들어갑니다,,메뉴문의
qa,민트 라테는 어떤 거예요?,민트라떼,민트 시럽이랑 커피랑 나가는 거예요,"민트시럽, 커피",메뉴문의
qa,에그 헴 머핀은 양이 많아요?,"에그햄머핀,양",맥도날드 머핀만 한 크기입니다,"맥도날드, 머핀, 크기",메뉴문의
qa,자몽 주스는 그냥 자몽 생으로 가는 거예요?,"자몽주스,자몽",계랑 컵에 물이랑 희석해서 갈아요,"계량컵, 물, 희석",메뉴문의
qa,자몽 주스하고 자몽에이드는 뭐가 차이점이에요?,"자몽주스,자몽에이드,차이점",에이드에는 설탕이 들어갑니다,"에이드, 설탕",메뉴문의
qa,에스프레소 콘파냐는 뭐예요?,에스프레소 콘파냐,에스프레소 위에 콘파냐 올라가는 거예요,"에스프레소, 콘파냐",메뉴문의
qa,시럽을 많이 넣어서 그래요?,시럽,벌꿀을 넣습니다,벌꿀,메뉴문의
qa,너무 달진 않아요?,,생과일주스 중에는 달아요,생과일 주스,메뉴문의
qa,바나나 주스는 어떻게 만드는 거예요?,바나나주스,생과일 바나나 넣고 우유 넣고 만드는 거예요,"생과일, 바나나, 우유",메뉴문의
qa,차 종류는 이거예요?,"차,종류",차는 메뉴판 보면 팀 종류에 있어요,"차, 메뉴판, 티, 종류",메뉴문의
qa,여기 생과일주스는 뭐가 있어요?,생과일 주스,자몽이랑 바나나랑 토마토 있어요,"자몽, 바나나, 토마토",메뉴문의
qa,그럼 바르는 소스는 따로 없는 거예요?,소스,저희 바르는 소스는 따로 없고 크림치즈를 이렇게 드려요,"소스, 크림치즈",메뉴문의
qa,저 베이글은 뭐 발라서 주는 거예요?,베이글,베이글은 플레인 맛이랑 어니언 맛있습니다,"베이글, 플레인맛, 어니언맛",메뉴문의
qa,저쪽에 있는 건 아이스크림이죠?,아이스크림,아니요 떠먹는 케이크에요,떠먹는 케이크,메뉴문의
qa,많이 달아요?,,많이 달진 않고 어느 정도 단 맛은 있어요,단 맛,메뉴문의
qa,플랜 클링 이거 탄산 들어있는 거예요?,"플랜클링,탄산",네 다 들어있습니다,,메뉴문의
qa,아이스 아메리카노 더치커피랑 아메리카노 맛이 많이 틀리나요?,"아이스,아메리카노,더치커피,맛",원두에 따라 다르기도 한데 일단 커피 만드는 방식 자체가 달라가지고 맛은 차이가 나요,"원두, 커피, 방식, 맛",메뉴문의
qa,자몽청 이거는 그냥 따뜻한 물에 차처럼 타먹어도 되는 거죠?,"자몽청,따뜻,물,차",따뜻하게 하셔도 되고 차갑게 하셔도 되고 탄산수에 타먹어도 됩니다,"따뜻, 차갑, 탄산수",메뉴문의
qa,자몽 청도 여기서 만든 거예요?,자몽청,네 만들었어요,,메뉴문의
qa,진짜 딸기우유라고 하는 거는 여기서 만든 거예요?,진짜딸기우유,네 직접 만들어요,,메뉴문의
qa,돌체 라테는 뭐예요?,돌체라떼,커피 종류입니다,"커피, 종류",메뉴문의
qa,생크림 카스텔라 스타벅스에 파는 거랑 비슷한 거예요?,"생크림 카스텔라,스타벅스",네 비슷합니다,,메뉴문의
qa,영수증 주시고 샷은 몇 개에요?,"영수증,샷,몇 개",두 개입니다,두 개,메뉴문의
qa,노말 한 아이스크림이 뭐예요?,아이스크림,바닐라 아이스크림입니다,바닐라 아이스크림,메뉴문의
qa,아이스크림도 있어요?,아이스크림,네 아이스크림 있습니다,아이스크림,메뉴문의
qa,원조 커피가 뭐예요?,원조커피,믹스커피라고 생각하시면 돼요,믹스커피,메뉴문의
qa,스타벅스에 그런 빵하고 비슷한가요?,"스타벅스,빵",네 약간 그럼 느낌의 빵이라고 생각하시면 돼요,빵,메뉴문의
qa,생크림 소프트 시폰 이거는 무슨 맛이에요?,"생크림 소프트 쉬폰,맛",그거는 생크림 안에 시폰 들어가 있어요,"생크림, 안, 쉬폰",메뉴문의
qa,이 과자는 뭐예요?,과자,커피랑 같이 드시면 맛있을 거예요,커피,메뉴문의
qa,생크림은 시중에서 파는 제품으로 하시는 거예요?,"생크림,시중,제품",저희 가게에서 파는 생크림 저희가 직접 만들어요,"가게, 생크림",메뉴문의
qa,카페 콤파냐는 뭐예요?,카페 콤파냐,콤파냐는 에스프레소에다가 생크림 올려드리는 거예요,"콤파냐, 에스프레소, 생크림",메뉴문의
qa,라테 진하게 먹으려면 샷을 추가하는 거예요?,"라떼,진하게,샷,추가",추가비는 없고 진하게 연하게 다 가능해요,"추가비, 진하게, 연하게, 가능",메뉴문의
qa,진하게 먹으려면 샷 추가하는 거예요?,"진하게,샷,추가",샷 추가하셔야 진하게 드실 수 있으세요,"샷, 추가, 진하게",메뉴문의
qa,네 여기는 우유는 뭘로 써요?,우유,우유는 그냥 서울우유요,"우유, 서울우유",메뉴문의
qa,그러면 원래 오트밀 라테 자체가 좀 단 거예요?,오트밀 라떼,아니요 오트밀 라테 아예 안 달아요,오트밀 라떼,메뉴문의
qa,그러면 단 정도는 어때요?,,달기는 조절해드릴 수 있어요,조절,메뉴문의
qa,오트밀 라테도 차가운 건가요?,"오트밀 라떼,차가운",따뜻한 것도 있고 차가운 것도 있어요,"따뜻한, 차가운",메뉴문의
qa,오트밀 라테는 뭐 들어가는 거예요?,오트밀 라떼,곡물 들어가는 미숫가루라고 생각하시면 돼요,"곡물, 미숫가루",메뉴문의
qa,쿠키는 여기서 직접 만드나요?,쿠키,네 쿠키는 저희가 직접 만듭니다,쿠키,메뉴문의
qa,리얼 쇼콜라는 뭐예요?,리얼 쇼콜라,리얼 쇼콜라는 핫초코라고 생각하시면 편해요,"리얼 쇼콜라, 핫초코",메뉴문의
qa,클랜 주는 그럼 생과일로 직접 짜서 주는 거예요?,"클랜즈,생과일",저희가 여기서 해드리는 건 아니고 저희가 이제 제품을 받아서 팩처럼 개별로 이렇게 포장이 돼있어요,"제품, 팩, 개별, 포장",메뉴문의
qa,그러면 클랜 주는 뭐예요?,클랜즈,클랜 주는 착즙주스 같은 건데 녹즙 같은 거라고 생각하시면 돼요,"클랜즈, 착즙 주스, 녹즙",메뉴문의
qa,약간 톡 쏘는 그런 거예요?,,네 바 같은 데서 파는 칵테일 같은 것인데 무알코올이라고 생각하시면 돼요,"바, 칵테일, 무알콜",메뉴문의
qa,모히또는 어떤 거예요?,모히또,모히또는 에이드처럼 탄산 들어가는 겁니다,"모히또, 에이드, 탄산",메뉴문의
qa,따뜻한 비엔나커피는 많이 안 달아요?,"따뜻한,비엔나 커피",네 단 거 좋아하시면은 거기다가 설탕 넣어 드셔도 되고 안 달아요,설탕,메뉴문의
qa,비엔나커피도 달아요?,비엔나 커피,비엔나는 아메리카노에 휘핑크림 올라가는 거라서 많이 달진 않아요,"비엔나, 아메리카노, 휘핑크림",메뉴문의
qa,그럼 많이 달겠네요?,,휘핑크림도 올라가고 초코도 있어서 좀 달아요,"휘핑크림, 초코",메뉴문의
qa,화이트초코요?,화이트초코,네 흰색 초코요,"흰색, 초코",메뉴문의
qa,화이트 카페모카는 많이 달아요?,화이트 카페모카,휘핑크림하고 화이트 초코가 들어가요,"휘핑크림, 화이트 초코",메뉴문의
qa,시럽은 얼마나 들어가나요?,시럽,시럽은 이거 가져가시면 됩니다,시럽,메뉴문의
qa,샷은 몇 개 들어가죠?,"샷,몇 개",샷은 한 개 들어가요,"샷, 한 개",메뉴문의
qa,블랙 화이트도 사이즈가 있어요?,"블랙화이트,사이즈",작은 사이즈는 없고 중간 사이즈랑 큰 사이즈 있어요,"작은 사이즈, 중간 사이즈, 큰 사이즈",메뉴문의
qa,그러면 블랙 화이트는 단 것이 아예 안 들어가는 거예요?,블랙화이트,사이즈가 큰 거는 많이 들어가고 작은 거는 적게 들어가고 다 달라요,"사이즈, 큰 거, 많이, 작은 거, 적게",메뉴문의
qa,블랙 화이트는 뭐예요?,블랙화이트,우유 적게 들어가고 커피가 많이 들어간 거예요,"우유, 적게, 커피, 많이",메뉴문의
qa,그러면 여기는 생과일주스 이런 것도 전부 생과일 갈아서 하시겠네요?,"생과일 주스,전부,생과일,갈아서",냉장고 보시면 아시겠지만 생과일에다가 저희는 첨가물 같은 거 안 넣습니다,"냉장고, 생과일, 첨가물",메뉴문의
qa,여기는 밤 자체를 그냥 넣으시는 거예요?,밤,네 밤 라테 맛있을 거예요,밤라떼,메뉴문의
qa,밤 라테는 밤이 들어가요?,"밤라떼,밥",밤을 삶아서 들어가는데 다른 가게처럼 진액 그런 걸로 안 해요,"밤, 삶아서, 액기스",메뉴문의
qa,프라페는 차가운 거예요?,"프라페,차가운",네 프라페에 얼음 막 갈아서 차가운 거예요,"프라페, 얼음, 갈아서, 차가운",메뉴문의
qa,연유랑 커피가 잘 어울려요?,"연유,커피",네 원래 스페인 가면 사람들이 에스프레소에 연유만 뿌려서 먹거든요,"스페인, 에스프레소, 연유",메뉴문의
qa,연유라는 게 우리가 빙수에 뿌려먹는 연유 그거 말하는 거예요?,"연유,빙수",네 그렇게 파는 게 스타벅스에 돌체 라테인데 연유 들어가요,"스타벅스, 돌체라떼, 연유",메뉴문의
qa,연유 라테는 뭐예요?,연유라떼,말 그대로 연유랑 에스프레소랑 우유 들어가고요,"연유, 에스프레소, 우유",메뉴문의
qa,아메리카노는 원래 샷이 몇 개에요?,"아메리카노,샷,몇 개",아메리카노에 원샷 들어가요,"아메리카노, 원샷",메뉴문의
qa,우유는 싫어하는데 라테 종류는 다 그래요?,"우유,라떼,종류",네 라테 종류는 우유 다 들어가요,"라떼, 종류, 우유",메뉴문의
qa,라테 중에 덜 달고 순한 게 있나요?,라떼,저희 카페라테는 시럽 아예 안 들어가서 안 달아요,"카페라떼, 시럽",메뉴문의
qa,커피 연하게 하는 거는 샷이 몇 개 들어가요?,"커피,연하게,샷,몇 개",저희 기본 샷이 두 개인데 연하게는 한 개 들어가요,"기본, 샷, 두 개, 연하게, 한 개",메뉴문의
qa,바닐라 라테는 어떤가요?,바닐라 라떼,바닐라 라테는 커피랑 우유랑 바닐라 시럽 들어간 거예요,"바닐라 라떼, 커피, 우유, 바닐라 시럽",메뉴문의
qa,용량 더 큰 거는 안 나오나요?,용량,네 이게 제일 큰 사이즈예요,큰 사이즈,메뉴문의
qa,이 커피 용량 몇 미리 짜리에요?,"커피,용량,몇 미리",커피 용량은 오백 미리 짜리에요,"커피, 용량, 오백미리",메뉴문의
qa,여기 더치커피도 직접 내려요?,더치 커피,더치커피 저희가 직접 내립니다,더치 커피,메뉴문의
qa,따뜻한 아메리카노 샷 몇 개 들어가죠?,"따뜻한,아메리카노,샷,몇 개",아메리카노에 샷 한 개 들어갑니다,"아메리카노, 샷, 한 개",메뉴문의
qa,그럼 따뜻한 아메리카노 한 잔 주시는데 투 샷이에요?,"따뜻한,아메리카노,한 잔,투샷",네 아메리카노 투 샷이에요,"아메리카노, 투샷",메뉴문의
qa,커피 단 정도는 어때요?,커피,캐러멜마키아토 엄청 달아요,카라멜 마끼아또,메뉴문의
qa,그러면 커피는 몇 개 정도 들어가요?,"커피,몇 개",커피는 투 샷 들어가요,"커피, 투샷",메뉴문의
qa,우유가 많이 들어가나요?,우유,네 우유가 많이 들어갑니다,우유,메뉴문의
qa,캐러멜마키아토는 어떤 거예요?,카라멜 마끼아또,캐러멜 시럽이랑 커피랑 우유 들어간 거요,"카라멜 시럽, 커피, 우유",메뉴문의
qa,블랙 밀크티는 그럼 따뜻하게는 안돼요?,"블랙 밀크티,따뜻하게","네, 따뜻하게 됩니다",따뜻하게,메뉴문의
qa,블랙 밀크티도 맛 조절이 가능해요?,"블랙 밀크티,맛,조절,가능",맛 조절 단계랑 얼음을 선택하실 수 있습니다,"맛, 조절, 단계, 얼음, 선택",메뉴문의
qa,블랙 밀크티는 뭐예요?,블랙 밀크티,홍차에 우유를 갈아 태워서 마시는 음료인데 손님들이 그 걸 가장 많이 드세요,"홍차, 우유, 음료, 손님",메뉴문의
qa,그것도 홍차에 펄 넣어서 주는 거예요?,"홍차,펄","네, 홍차에 펄 넣어 드리는 것입니다","홍차, 펄",메뉴문의
qa,블랙 티는 뭐예요?,블랙티,홍차입니다,홍차,메뉴문의
qa,"아니요, 재스민 그린 티는 뭐예요?",쟈스민 그린티,재스민 그린 티는 녹차인데 재스민 향이 나는 녹차입니다,"쟈스민 그린티, 녹차, 쟈스민 향",메뉴문의
qa,치지 폼 자체가 좀 달아요?,치즈폼,"네, 단 맛, 짠맛, 신맛이 같이 납니다","단 맛, 짠 맛, 신 맛",메뉴문의
qa,치지 폼 딥도 코 스무디는 부드러워요?,치즈폼 딥초코 스무디,"네, 근데 초코랑 치지 폼 자체가 단 맛이 나서 조금 달달합니다","초코, 치즈폼, 단 맛, 달달",메뉴문의
qa,"아가씨, 치지 폼 딥도 코 스무디는 어떤 재료가 들어가요?","아가씨,치즈폼 딥초고 스무디,재료","초콜릿이랑 치지 폼이고, 치지 폼은 우유 휘핑크림 밀크 폼에다가 치즈가루를 넣은 거예요","초콜렛, 치즈폼, 우유, 휘핑크림, 밀크폼, 치즈가루",메뉴문의
qa,말차가 뭔데요?,말차,녹차랑 비슷하다고 생각하시면 됩니다,녹차,메뉴문의
qa,말차 카페라테가 뭐예요?,말차 카페 라떼,말차랑 카페라테랑 섞인 커피입니다,"말차, 카페 라떼, 섞인, 커피",메뉴문의
qa,"아메리카노 따뜻한 거 하나 주시고, 바닐라 라테는 어떤 거예요?","아메리카노,따뜻한,하나,바닐라 라떼",바닐라 시럽 들어간 거입니다,바닐라 시럽,메뉴문의
qa,이게 더치커피 오백 미리에요?,"더치 커피,오백미리","네, 더치커피 오백 미리입니다","더치 커피, 오백미리",메뉴문의
qa,더치커피는 직접 내리시는 거예요?,더치 커피,"네, 저희가 여기 기계로 내립니다",기계,메뉴문의
qa,밀크티에 우유를 넣는 게 아니에요?,"밀크티,우유",저희가 따로 그 맛을 내는 우유도 넣습니다,"맛, 우유",메뉴문의
qa,"성분이 홍차인지, 아니면 뭐예요?","성분,홍차",홍차랑 우유맛 내는 거랑 섞여져 있습니다,"홍차, 우유맛",메뉴문의
qa,밀크티는 어떤 걸로 만드는 거예요?,밀크티,밀크티 가루가 있습니다,밀크티 가루,메뉴문의
qa,속 안에 들어가는 건 없어요?,,"네, 커피 반죽 자체만 들어갑니다",커피 반죽,메뉴문의
qa,이거 커피 콩알은 직접 만드는 거예요?,커피콩알,"예, 저희가 반죽 기계에 넣어서 만듭니다",반죽 기계,메뉴문의
qa,아이스로 먹으려면 아메리카노 먹어야 되죠?,"아이스,아메리카노","네, 아메리카노 드셔야 합니다",아메리카노,메뉴문의
qa,"사장님, 핸드드립은 직접 뽑는 거예요?","사장님,핸드드립","손으로 커피 가루 갈아서 내리는 거고, 여과지에 거르기 때문에 부드럽고 깔끔한 맛이 납니다","손, 커피 가루, 갈아서, 내리는, 여과지, 거르기, 깔끔한 맛",메뉴문의
qa,쿠키는 직접 구운 거 아니죠?,쿠키,"네, 쿠키는 직접 굽지 않습니다",쿠키,메뉴문의
qa,바닐라 라테는 달죠?,바닐라 라떼,"네, 바닐라 라테는 시럽이 들어가서 단 편입니다","바닐라 라떼, 시럽,",메뉴문의
qa,빵은 직접 만든 거예요?,빵,"네, 빵은 직접 만들어서 판매합니다","빵, 판매",메뉴문의
qa,카페라테가 좀 덜 달죠?,카페라떼,"네, 카페라테에는 시럽이 들어가지 않습니다","카페라떼, 시럽",메뉴문의
qa,좀 덜 단 게 바닐라 라테에요?,바닐라 라떼,"고객님의 성향에 따라 다르겠지만, 바닐라 라테에도 시럽이 들어갑니다","고객님, 성향, 바닐라 라떼, 시럽",메뉴문의
qa,차 종류는 뭐 있어요?,"차,종류",현재 레몬티만 주문 가능합니다,"현재, 레몬티, 주문, 가능",메뉴문의
qa,딸기잼 직접 만든 거예요?,딸기잼,저희 브랜드에서 만든 제품입니다,"브랜드, 제품",메뉴문의
qa,치즈빵 맛있어요?,치즈빵,"네, 잘 나가는 빵입니다",빵,메뉴문의
qa,딸기 요구르트는 냉동 딸기죠?,"딸기 요거트,냉동 딸기",딸기 요구르트는 딸기 파우더를 사용합니다,"딸기 요거트, 딸기 파우더, 사용",메뉴문의
qa,레몬 민트 티는 뭐예요?,레몬 민트티,레몬 민트는 스무디 음료입니다,"레몬 민트, 스무디, 음료",메뉴문의
qa,루이보스 크림이는 달아요?,루이보스 크림티,"고객님의 성향에 따라 다르겠지만, 크림이 들어가서 달 수도 있습니다","고객님, 성향, 크림",메뉴문의
qa,루이보스 크림이 저건 뭔데요?,로이보스 크림티,루이보스 티에 우유와 크림이 올라가는 음료입니다,"루이보스 티, 우유, 크림, 음료",메뉴문의
qa,직접 만든 차는 뭐가 있어요?,차,"죄송하지만, 저희 매장은 차를 제조하지 않습니다","매장, 차, 제조",메뉴문의
qa,레몬 차는 직접 만드신 건 아니죠?,레몬 차,"네, 레몬 차는 농축액을 사용합니다","레몬 차, 농축액",메뉴문의
qa,레몬 차는 가루로 타주는 거예요?,"레몬 차,가루",레몬 차에는 레몬 농축액이 들어갑니다,"레몬 차, 레몬 농축액",메뉴문의
qa,레몬 차는 직접 담갔어요?,레몬 차,"네, 레몬 청을 직접 담가 판매하고 있습니다","레몬 청, 판매",메뉴문의
qa,자몽을 금방 간 거예요?,자몽,담가진 자몽 청을 풀어서 제조했습니다,"자몽 청, 제조",메뉴문의
qa,카페 모카는 뭐예요?,카페 모카,카페 모카는 커피에 초코 시럽이 들어간 음료입니다,"카페 모카, 커피, 초코 시럽, 음료",메뉴문의
qa,카페라테가 우유만 섞어주는 거 아니에요?,"카페라떼,우유","네, 우유와 커피가 들어간 음료입니다","우유, 커피, 음료",메뉴문의
qa,"조각 케이크, 머핀은 여기서 만드는 건 아니지요?","조각 케이크,머핀","네, 조각 케이크와 머핀은 직접 만들지 않습니다","조각 케이크, 머핀",메뉴문의
qa,라테는 뭐를 라테라고 해요?,라떼,라테는 우유에 에스프레소 커피를 넣은 음료입니다,"라떼, 우유, 에스프레소, 커피, 음료",메뉴문의
qa,추로스는 직접 해요?,츄러스,"네, 직접 만들어서 판매합니다",판매,메뉴문의
qa,단백질 바나나 셰이크는 단백질 파우더 넣어줘요?,"단백질 바나나 쉐이크,단백질 파우더",네 단백질 바나나 셰이크에는 단백질 파우더가 들어갑니다,"단백질 바나나 쉐이크, 단백질 파우더",메뉴문의
qa,얼그레이는 뭐예요?,얼그레이,얼그레이는 홍차입니다,"얼그레이, 홍차",메뉴문의
qa,바닐라 보들 라테가 뭐예요?,바닐라 보들라떼,커피에 바닐라 시럽이 들어간 음료입니다,"커피, 바닐라 시럽, 음료",메뉴문의
qa,생아메리카노는 에스프레소가 아니라는 얘기죠?,"생아메리카노,에스프레소",생아메리카노는 에스프레소를 추출해서 만든 음료입니다,"생아메리카노, 에스프레소, 추출, 음료",메뉴문의
qa,생아메리카노는 뭐예요?,생아메리카노,생아메리카노는 일반 아메리카노입니다,"생아메리카노, 일반, 아메리카노",메뉴문의
qa,아포가토 도 커피에요?,"아포카토,커피",아포가토는 아이스크림에 에스프레소 샷을 부어 먹는 음료입니다,"아포카토, 아이스크림, 에스프레소 샷, 음료",메뉴문의
qa,샷 추가가 따로 있네요?,"샷,추가","네, 샷 추가 가능합니다","샷, 추가, 가능",메뉴문의
qa,스팀 밀크는 따뜻한 그냥 우유죠?,"스팀 밀크,따뜻한,우유","네, 스팀 밀크는 우유 스팀기로 따뜻하게 데운 우유입니다","스팀 밀크, 우유 스팀기, 따뜻하게",메뉴문의
qa,커피 샷이  원샷이에요?,"커피,샷,원샷","네, 커피에는 샷이 하나 들어갑니다","커피, 샷, 하나",메뉴문의
qa,빵은 직접 구워요?,빵,"허니브레드는 주문된 빵을 구워서 드리고, 와플은 직접 만들어서 판매합니다","허니브레드, 주문, 빵, 와플, 판매",메뉴문의
qa,베이커리 종류는 없네요,"베이커리,종류",베이커리 메뉴는 허니브레드와 와플이 있습니다,"베이커리, 메뉴, 허니브레드, 와플",메뉴문의
qa,카페 비엔나는 뭐예요?,카페 비엔나,카페 비엔나는 아메리카노 위에 휘핑크림이 올라간 음료입니다,"카페 비엔나, 아메리카노, 위, 휘핑크림, 음료",메뉴문의
qa,우유는 항상 매일 우유만 넣어요?,"우유,매일 우유","네, 저희 매장은 매일 우유를 사용하고 있습니다","매장, 매일 우유, 사용",메뉴문의
qa,블루베리 페퍼민트는 차 종류에요?,"블루베리 페퍼민트,차,종류","네, 블루베리 페퍼민트는 차입니다","블루베리 페퍼민트, 차",메뉴문의
qa,레몬 차하고 오미자차 직접 만든 수제에요?,"레몬 차,오미자차,수제","네, 레몬 차와 오미자차는 매장에서 직접 만들고 있습니다","레몬 차, 오미자차, 매장",메뉴문의
qa,카푸치노랑 라테랑 뭐가 틀려요?,"카푸치노,라떼","카푸치노는 우유가 적고, 우유 거품이 많은 커피이고, 라테는 우유가 많고, 우유 거품이 적은 커피입니다","카푸치노, 우유, 적고, 거품, 많은, 커피, 라떼, 많고, 적은",메뉴문의
qa,샌드위치 데워 줘요?,샌드위치,"네, 샌드위치는 바로 만들어서 나오기 때문에 따뜻합니다","샌드위치, 따뜻",메뉴문의
qa,샌드위치는 직접 만들어서 다 주는 거예요?,샌드위치,"네, 샌드위치는 매장에서 직접 만들어서 제공합니다","샌드위치, 매장, 제공",메뉴문의
qa,스페셜티 블랜디드 원두는 뭐예요?,"스페셜티 블랜디드,원두",스페셜티 블랜디드 원드는 커피를 내려 드실 수 있게 갈아서 판매하는 제품입니다,"스페셜티 블랜디드, 원두, 커피, 판매, 제품",메뉴문의
qa,커피도 맛있어요?,커피,"고객님의 입맛에 따라 다르겠지만, 맛있는 커피를 제공하기 위해 매일 맛을 조절하고 있습니다","고객님, 입맛, 커피, 맛, 조절",메뉴문의
qa,뭐드러갔슈는 뭐예요?,뭐드러갔슈,뭐드러갔슈는 커스터드 그림이 들어간 슈 케이크입니다,"뭐드러갔슈, 커스터드 크림, 슈 케이크",메뉴문의
qa,에스프레소는 커피 맛이 들어가 있겠네요?,"에스프레소,커피,맛","네, 에스프레소 케이크는 커피 맛입니다","에스프레소 케이크, 커피 맛",메뉴문의
qa,얼그레이 다쿠아즈 케이크는 맛이 뭐예요?,"얼그레이 다쿠아즈케이크,맛",얼그레이 다쿠아즈 케이크는 우유 베이스에 밀크티 향이 추가된 맛입니다,"얼그레이 다쿠아즈케이크, 우유, 밀크티 향, 추가",메뉴문의
qa,치킨 살사 샌드위치는 2인용인가요?,"치킨 살사 샌드위치,2인용",두 조각이 제공됩니다,두 조각,메뉴문의
qa,딸기 주스는 뭐예요?,딸기 주스,딸기 주스는 우유에 딸기를 넣어 만든 라테입니다,"딸기 주스, 우유, 딸기, 라떼",메뉴문의
qa,딸기 프로티 펀치는 뭐예요?,딸기 프로티펀치,딸기 프로티 펀치는 딸기 스무디 위에 젤라또 아이스크림이 올라간 음료입니다,"딸기 프로티펀치, 딸기 스무디, 젤라또 아이스크림, 음료",메뉴문의
qa,에스프레소 콘파냐는 뭐예요?,에스프레소 콘파냐,에스프레소 콘파냐는 생크림이 들어가는 스무디입니다,"에스프레소 콘파냐, 생크림, 스무디",메뉴문의
qa,근데 일반 라테 다른 데랑 똑같은 거예요?,라떼,"같은 라테도 있고, 더 가볍고 산미가 있는 라테도 있습니다","라떼, 산미",메뉴문의
qa,추로스는 바로 구워서 주는 거예요?,츄러스,"네, 바로 튀겨서 준비해드립니다",,메뉴문의
qa,"네, 샷은 원샷?","샷,원샷","작은 사이즈는 원샷, 큰 사이즈는 투 샷 들어갑니다","작은 사이즈, 원샷, 큰 사이즈, 투샷",메뉴문의
qa,연유 라테도 좀 달 자기 한 거겠네,"연유라테,달작","네, 단 맛 나는 음료입니다","단, 음료",메뉴문의
qa,따뜻한 음료에요?,"따뜻,음료",아이스만 되는 음료입니다,"아이스, 음료",메뉴문의
qa,솔트 치즈 라테 이거는 뭐예요?,솔트 치즈 라테,위에 크림 올라가는데 단 맛이랑 짠맛 모두 나는 음료에요,"크림, 단, 짠, 음료",메뉴문의
qa,아이스크림 있는 저 와플은 두 명 정도 먹을 수 있겠네요,"아이스크림,와플,두 명","네, 두 명 정도 먹을 수 있습니다",두 명,메뉴문의
qa,갈릭 허니 브레드 위에는 뭐 얹어놨어요?,갈릭 허니 브레드,갈릭 허니 브레드는 지금 안 돼요,갈릭 허니 브레드,메뉴문의
qa,"네, 브렉퍼스트 티 라테가 뭐예요?",블랙퍼스트 티 라테,브렉퍼스트가 홍차인데 우유 위에 뿌려서 나오는 음료에요,"블랙퍼스트, 홍차, 우유, 음료",메뉴문의
qa,카페라테 아이스 괜찮았는데 따뜻한 거랑 맛이 다를 때가 있던데 똑같은 거 맞아요?,"카페라테,아이스,따뜻,맛","네, 카페라테 아이스랑 따뜻한 카페라테 맛 똑같습니다","카페라테, 아이스, 따뜻, 맛",메뉴문의
